ue;annee;dossier;intitule;points;total_points;questions_resume;rubriques_principales;rubriques_secondaires;competences;nature;technicite;source;statut_source
UE5;2022;2;Mise en œuvre d'un workflow facture (année de transition);7;20;Q1 typologies de factures · Q2 circuits de validation · Q3 étapes et méthodologie de projet · Q4 Factur-X;3.1|2.2;5.2;workflow, circuits de validation, conduite de projet, facture électronique;rédaction;2;idem;idem
UE5;2022;3;Équipement de nouveaux SI (SaaS vs On Premise, RGPD);7;20;Q1 SaaS vs On Premise et choix par application · Q2 avantage/inconvénient d'une solution tout-en-un · Q3 mutualisation du DPO (RGPD);2.1|5.2;3.1|4.5|5.1;modes de distribution, arbitrage, rôle du DPO;rédaction;2;idem;idem
UE5;2021;1;Schéma directeur du SI (Haute-Loire Habitat);8;20;Q1 deux organisations possibles de la DSI · Q2 définir et établir un schéma directeur · Q3 deux indicateurs de coût du SI;1.1|1.2|4.3;4.1;organisation de la DSI, schéma directeur, indicateurs de coût;rédaction;2;Drive UE 5 - 2021 Sujet (id 1Kdt-K3XlN8rl9R7ZSMbRheWvApLE4Vqc);copie FicheBEN · structure confirmée par [Rapport du jury 2021, p. 9-10]
UE5;2021;2;Cadrage du projet;5;20;Q4 un FCS et un risque · Q5 deux méthodes de conduite de projet · Q6 diagramme de Gantt (5 tâches, 40 semaines);2.1|2.2|2.4;;FCS/risques projet, méthodes (cycle en V, agile), Gantt;mixte (schéma);1;idem;idem
UE5;2021;3;Système d'information achats;7;20;Q7 conservation légale des factures · Q8 traitement informatique d'une facture · Q9 destruction de l'original papier · Q10 RGPD et factures d'achat · Q11 améliorations du SI achats (Covid);3.1|5.2;5.3;obligations de conservation, processus achats, numérisation, RGPD, résilience;rédaction;1;idem;idem
UE5;2020;1;Cabinet CECL20 — RGPD et DPO (semaines 1 à 5, Q1-Q8);8;20;Q1-3 DPO (obligation, mutualisation, rôle) · Q4 AIPD · Q5-6 registre des traitements · Q7 information et consentement des salariés · Q8 contrats avec les sous-traitants;5.2;4.2;RGPD, DPO, AIPD, registre, contrats de sous-traitance;rédaction;1;Drive UE 5 - 2020 Sujet (id 1akH6xayKQlo1r0aJJ9CNz9wGMNEk88p2);copie FicheBEN · format « 20 questions » confirmé par [Rapport du jury 2020, p. 9] · regroupement en blocs = choix de l'analyse
UE5;2020;2;Cabinet CECL20 — crise, sécurité, formation, RGPD clients (semaines 6 à 8, Q9-Q15);6;20;Q9 prévenir et traiter les risques SI · Q10-11 formation des personnels, à distance · Q12-14 obligations RGPD d'un cabinet, solutions informatiques, RGPD chez les clients · Q15 newsletter/mailing-list;5.3|5.2;2.5;prévention/continuité, sensibilisation, conformité;rédaction;1;idem;idem
UE5;2020;3;Cabinet CECL20 — ERP/PGI SaaS et séminaires utilisateurs (semaines 9 et suivantes, Q16-Q20);6;20;Q16 apports du nouvel ERP en SaaS · Q17-18 séminaires end-user/key-user · Q19-20 questionnaire et exploitation des réponses pour la sécurité (points de Q18-Q20 déduits du total, répartition non vérifiée);3.1|3.2|2.2;5.3;intégration ERP vs silos, accompagnement du changement, communication;rédaction;1;idem;idem
UE5;2019;1;Urbanisation du SI (SOLIDOR);6;20;Q1 pertinence de l'urbanisation · Q2 cartographie des processus · Q3 représentation (Ishikawa) du processus d'urbanisation;1.3;;urbanisation, cartographie des processus;mixte (schéma);2;Drive UE 5 - 2019 Sujet (id 1Z0d8wbaGYbWLeHhCzMUUsTjWDKRDHLrN);ancien programme — copie FicheBEN
UE5;2019;2;Alignement stratégique du SI;7;20;Q1 modèle d'alignement · Q2 ERP/CRM et NPS · Q3 SaaS forces/faiblesses · Q4 suivi de la qualité de la DSI;1.2|3.1|4.1;2.1;alignement, CRM, SaaS, qualité;rédaction;2;idem;idem
UE5;2019;3;Pilotage du changement;7;20;Q1 pertinence du pilotage du changement · Q2 dispositifs face aux résistances · Q3 Gantt en 6 phases, durée minimum;2.2;2.4;conduite du changement, planification;mixte (schéma);1;idem;idem
UE5;2018;1;Remplacement du PGI (Mirlac);7;20;Q1 organes de pilotage du projet · Q2 conditions de réussite · Q3 critères de choix d'un PGI · Q4 difficultés de mise en place;3.2|2.2;2.1;gouvernance de projet, choix et déploiement d'un ERP;rédaction;1;Drive UE 5 - 2018 Sujet (id 1mg0HpCRmz439eElElMLl08o4bQL1cdYk);ancien programme — copie FicheBEN
UE5;2018;2;Ordonnancement du projet PGI;7;20;Q1 graphe d'ordonnancement (PERT) · Q2 allongement des développements · Q3 solution pour tenir la durée;2.2;2.4;PERT, chemin critique, marges;calcul (ordonnancement);2;idem;idem
UE5;2018;3;Sécurisation des échanges;6;20;Q1 conséquences des cyberattaques · Q2 VPN et clés de chiffrement · Q3 quatre autres dispositifs de protection;5.2|5.3;5.1;cryptographie, VPN, mesures de sécurité;rédaction;2;idem;idem
UE5;2017;1;Gouvernance du SI (AIDADOM);6;20;Q1 stratégie informatique · Q2 apports d'une SSII · Q3 informatique décisionnelle;1.2|1.4;1.1|6.4;stratégie SI, externalisation, décisionnel;rédaction;1;Drive UE 5 - 2017 Sujet (id 1Licwy7u0za1kZV9d5d1TB4rfYVohur30);ancien programme — copie FicheBEN
UE5;2017;2;Projet de déploiement de l'application métier;8;20;Q4 hébergement central · Q5 full-web · Q6 virtualisation, haute disponibilité et TCO · Q7 SLA et référentiel (ITIL);5.1|4.2|4.3;6.2;architecture, TCO, SLA/ITIL;rédaction;2;idem;idem
UE5;2017;3;Étude du projet FOAD;6;20;Q8 enjeux, avantages et contraintes · Q9 six indicateurs d'accès à la plateforme;2.1|4.1;2.5;enjeux de projet, indicateurs;rédaction;1;idem;idem
UE5;2016;1;Gouvernance du SI (SOVANI);7;20;Q1 alignement stratégique · Q2 couvrir les missions du SI (compétences internes/externalisation) · Q3 urbanisation;1.2|1.1|1.3;;alignement, organisation DSI, urbanisation;rédaction;1;Drive UE 5 - 2016 Sujet (id 1uXcmoKGmZHdtyj4u7rICaY2UCtmFfKcX);ancien programme — copie FicheBEN
UE5;2016;2;Projet de modernisation de l'ERP;8;20;Q1 raisons de changer d'ERP · Q2 étapes du projet · Q3 comparaison de trois solutions · Q4 facteurs de réussite et référentiels · Q5 alternatives cloud;3.2|2.2|4.5;5.1;cycle de vie ERP, choix de solution, cloud;rédaction;2;idem;idem
UE5;2016;3;Sécurité et audit en environnement informatisé;5;20;Q1 réseau sécurisé (VPN) · Q2 audit financier en environnement informatisé · Q3 étapes d'un audit assisté par ordinateur;5.2|6.2|6.3;6.1;sécurité réseau, audit en milieu informatisé, CAAT;rédaction;2;idem;idem
