ue;annee;dossier;question;bareme;attendus_du_corrige;pieges_et_vigilance;source
UE2;2025;3;Q5 le dividende n'enrichit pas;n.c.;Modigliani-Miller (1961) : en marché parfait, le cours baisse du montant du dividende · le patrimoine change de structure, pas de valeur.;Citer les auteurs et l'hypothèse de marché parfait (jury : « grands auteurs »).;idem
UE2;2023;1;Options réelles (Black-Scholes);20/100;Hypothèses de B&S (temps continu, pas de dividende, taux sans risque et volatilité constants, absence d'arbitrage, ventes à découvert, mouvement brownien géométrique) · définitions option réelle/option d'expansion · r continu = ln(1,0425) · d1 = 0,57, d2 = −0,03 · call = 301 203 k€ · VAN stratégique = VAN (−30 069) + option > 0 → investir.;Conversion taux discret → continu · valeur actuelle du sous-jacent · lecture de la table de la loi normale.;Corrigé 2023 (copie FicheBEN)
UE2;2023;2;Gouvernance (définition, mécanismes, géographie du capital, administrateurs indépendants);n.c. (dossier 50/100);Charreaux (1997) · mécanismes externes (marché financier, lois/codes, marché des dirigeants, endettement) et internes (comités, rémunération incitative, administrateurs indépendants) · géographie du capital → gouvernance « administrée » (État majoritaire) · AFEP-MEDEF : intègres, compétents, actifs, présents, impliqués.;Relier rémunération croissante du dirigeant et dégradation des résultats (analyse critique attendue).;idem
UE2;2023;2;Évaluation : CMPC, covariance, DCF, multiples, fonds de commerce;covariance : 6 pts (0,5 par ligne juste · 3 pts si non justifié);β = cov/var = 1,3 · kCP = 12 % · CMPC = 11,45 % · covariance en tableau (écarts à la moyenne, produit, somme/(n−1)) = 0,1214 % · DCF 5 ans + valeur terminale Gordon (g = 2 %) → VE 42 733 − dettes − provisions → 56,77 €/action · multiples VE/CA, VE/EBIT, PER · fonds de commerce : barème (% du CA) ou rentabilité (EBE/résultat).;Tableau OBLIGATOIRE pour la covariance · déduire dettes ET provisions · un multiple peut donner une valeur nulle (à commenter).;idem
UE2;2023;3;DPEF, notation extra-financière, swap de taux;dossier 30/100;DPEF : seuils (cotée : > 500 salariés et CA > 40 M€ ou bilan > 20 M€) · notation ESG = signal · agences (MSCI ESG, Vigeo-Eiris…) · risque de hausse de l'Euribor · swap → taux fixe · tableau avec/sans couverture pour 2 scénarios.;ALERTE ACTUALITÉ : la DPEF est remplacée par le rapport de durabilité (CSRD) pour les exercices ouverts depuis 2024 (à vérifier dans ton cours) · présenter en tableau.;idem
UE2;2024;1;Q1 rentabilité exigée (MEDAF);n.c. (dossier 8/20);kc = rf + β × (Rm − rf) = 8,12 % + prime de risque pays 0,76 % = 8,88 %.;Penser à la prime de risque pays si l'annexe la fournit.;Corrigé 2024 (copie FicheBEN, scan lu en image)
UE2;2024;1;Q2 DCF (FTD) → VCP → valeur de l'action;n.c.;Tableau CA → EBIT → IS → RN + DAP = CAF − investissements − ΔBFR = FTD · valeur terminale Gordon-Shapiro = FTD2024 × (1+g)/(CMPC − g) · VGE 3 575 M€ − dettes financières 953 = VCP 2 622 M€ → 381,48 €/action.;Actualiser la valeur terminale · soustraire l'endettement pour passer de la VGE aux capitaux propres.;idem
UE2;2024;1;Q3 multiples VGE/EBIT (intérêt, limite);n.c.;Intérêt : comparables cotés proches (taille, marges, intensité capitalistique) · limite : pas de comparable parfait · moyenne des multiples 13,87 × EBIT 203 = VGE 2 815,9 − dettes → 271,07 €/action.;Présenter intérêt ET limite avant le calcul (consigne).;idem
UE2;2024;1;Q4-Q5 prime d'OPR et fourchette;n.c.;Prime = 550 / cours de référence − 1 (46 % à 124 % selon la référence) · fourchette FTD/multiples/cours → offre généreuse (prime ≥ 44 % sur le DCF).;Commenter en tableau récapitulatif (méthode, prix, prime).;idem
UE2;2024;2;OPR, retrait obligatoire, motifs, structure d'actionnariat;n.c. (dossier 7/20);OPR (majoritaire rachète les minoritaires) · retrait obligatoire si flottant < seuil (5 % selon le corrigé · le seuil légal est de 10 % depuis la loi PACTE — à vérifier) · motifs : actionnariat concentré, faible liquidité, coûts de cotation · tableau actions / droits de vote théoriques / exerçables (auto-détention sans droit de vote).;ALERTE : Distinguer droits de vote théoriques et exerçables · attention au seuil du retrait obligatoire (10 % du capital et des droits de vote depuis PACTE 2019).;idem
UE2;2024;2;Intérêt du retrait pour la direction, Copé-Zimmermann, signal de bonne gouvernance;n.c.;Allègement des contraintes réglementaires · Copé-Zimmermann : ≥ 40 % de chaque sexe dans les CA des sociétés cotées (2/7 = 28,6 %) → obligation levée après retrait · Fama et Jensen : séparation fonctions de décision et de contrôle (dissociation PDG → DG + président).;Citer l'auteur (Fama & Jensen 1983) · appliquer aux chiffres de l'annexe.;idem
UE2;2024;3;RSE vs ESG, indicateurs extra-financiers, Freeman, société à mission, actionnariat salarié;n.c. (dossier 5/20);RSE = démarche globale · ESG = critères de mesure/notation · pilotage : risques, coûts, réputation, attractivité, financements verts · Freeman (1984) : parties prenantes internes/externes et valeur créée · société à mission : raison d'être statutaire + comité de mission (PACTE 2019).;Réponses contextualisées au cas (jury 2024 : réponses non contextualisées).;idem
UE2;2022-S1;1;Diagnostic financier consolidé;30/100;Marge opérationnelle (RO/CA), ROCE = EBIT / (CP + endettement net), ROE = RN/CP, gearing = endettement net/CP, capacité de remboursement = endettement net/EBITDA · analyse 2016-2020 en 2-3 paragraphes · comparaison sectorielle.;Définir l'actif économique (CP + endettement net) · structurer l'analyse en paragraphes thématiques.;Corrigé 2022 sujet 1 (Drive)
UE2;2022-S1;2;ESG, DPEF, CDP, gouvernance AFEP-MEDEF, agence, dividende;30/100;Critères E/S/G avec exemples · DPEF (contenu, seuils) · CDP (notation A à D) · AFEP-MEDEF : ≥ 1/2 d'indépendants (capital dispersé) ou ≥ 1/3 (sociétés contrôlées), hors administrateurs salariés · agence (Jensen & Meckling 1976) : divergences entre catégories d'actionnaires · rôle et signal du dividende · prudence 2020.;Seuils du code AFEP-MEDEF à connaître.;idem
UE2;2022-S1;3;OPE : parité, prime, dividende exceptionnel, transfert de richesse, BPA;40/100;Cours cible EVA = 5 × 35 / (2 × 1,25) = 70 € · dividende exceptionnel = 88 − 70 = 18 € · valeur post-OPE = 31,5 M€ / 1 M actions = 31,50 € · transfert de richesse ± 1 750 000 € · synergies · BPA post-opération 5,74 €.;ALERTE : le corrigé conclut à une dilution « pour les deux groupes » · pour un actionnaire d'EVA il faut comparer 9,60 € à 2,5 × 5,74 = 14,36 € (effet relutif). Vérifie ce point avec ton enseignant.;idem
UE2;2022-S2;1-4;Diagnostic, gouvernance/AFEP, efficience et finance comportementale, RSE (sujet Energy+);4 × 25/100;Marge brute, EBITDA, EBIT, profitabilité · ROE vs ROCE (effet de levier négatif) · liquidité · gouvernance (Charreaux 1997), coûts d'agence (contrôle, dédouanement, perte résiduelle) · AFEP-MEDEF sur indemnités de départ (performance sur 2 ans, plafond 2 ans de rémunération) · Fama : efficience faible/semi-forte/forte (Euronext semi-forte) · Kahneman et Tversky (1979), biais, mimétisme · matrice de matérialité, approche partenariale (Charreaux 2020).;Sujet entièrement rédactionnel : mobiliser auteurs et dates.;Corrigé 2022 sujet 2 « éléments indicatifs de corrigé et barème national » (Drive)
UE2;2021;1;Bêta, MEDAF, capital-investissement, immobilier, VAN, horizon commun, annuité équivalente;50/100;E(R) pondérée par les probabilités · cov = Σ p(Ra − E)(Rm − E) · β = cov/var = 1,15 · E(Ri) = 6 % + 4,8 % × 1,15 = 11,51 % · capital-investissement (risque, développement, transmission/LBO avec leviers juridique, financier, fiscal, managérial, retournement) · caractéristiques et risques de l'immobilier · VAN de projets de durées différentes → horizon commun (renouvellement) et annuité équivalente = VAN × i / (1 − (1+i)^−n).;Durées différentes : ne pas conclure sur les seules VAN.;Corrigé 2021 (Drive)
UE2;2021;2;Fusion : motivations, parité, cours post-fusion, prime de contrôle;25/100;Motifs (synergies de volume, de ressources, de croissance · offensifs/défensifs) · parité sur moyenne valeur financière (dividende/taux) et ANCC → 3 pour 1 · cours du groupe = (valeurs + synergies)/nombre d'actions = 103,90 € · prime de contrôle.;ANCC : intégrer toutes les plus-values latentes (y compris titres détenus).;idem
UE2;2021;3;Crypto-actifs et risque de change (terme vs option);25/100;Bitcoin (pair à pair, sans autorité centrale), avantages/inconvénients · risque de baisse de la livre (créance en devise) · contrat à terme vs option (prime, exercice ou non) · choix argumenté.;Identifier le sens du risque (créance ou dette en devise).;idem
UE2;2020;1;EVA, obligations, crowdfunding;50/100;EVA = résultat opérationnel après IS − CMPC × actif économique (Stern Stewart) · β = cov/var · CMPC · duration et sensibilité · cours et taux évoluent en sens inverse · prix d'émission = valeur actuelle des coupons et du remboursement au TRAB · prime d'émission → TRAB > nominal · coupon couru (jours + 3 jours ouvrés) · crowdfunding en capital : 3 avantages/3 limites.;Coût de la dette après IS dans le CMPC · décompte des jours du coupon couru.;Corrigé 2020 (Drive)
UE2;2020;2;Collar, netting, blockchain;25/100;Collar = achat d'un cap + vente d'un floor (tunnel) · différentiels d'intérêts et primes selon 3 hypothèses · netting multilatéral : conversion en €, soldes nets, économies de flux · blockchain : registre distribué infalsifiable.;Présenter le netting en matrice créances/dettes.;idem
UE2;2020;3;Évaluation d'une start-up (VC method);25/100;Faiblesses des ANCC/DCF/comparables · facteurs (équipe, produit-marché-technologie, business plan) · valeur de sortie = RN moyen × PER × décotes · valeur d'entrée = valeur de sortie / (1 + TRI exigé)^n = 7,34 M€.;Taux cible élevé (32 %) : bien actualiser sur la durée de détention.;idem
