ue;annee;dossier;intitule;points;total_points;questions_resume;rubriques_principales;rubriques_secondaires;competences;techniques;nature;technicite;source;statut_source
UE2;2020;1;Création de valeur et financement obligataire;50;100;1.1-1.3 EVA (définition, calcul avec CMPC, dividendes) · 2.1-2.6 duration, sensibilité, prix d'émission, TRAB vs nominal, coupon couru, valeur de revente · 2.7-2.8 financement participatif en capital (plateforme), avantages/limites;2.2|1.3|4.2;1.2|6.5|6.1;EVA/création de valeur, CMPC, mathématiques obligataires, duration/sensibilité, crowdfunding;EVA|CMPC|obligations_duration|crowdfunding;mixte (calcul dominant);2;Drive UE 2 - 2020 Sujet (id 1Xmm-xydHTrtgCjO7lu1bFq_fgSNlJUBI);copie FicheBEN du sujet officiel · structure confirmée par [Rapport du jury 2020, p. 7]
UE2;2020;2;Gestion du risque de taux et de la trésorerie;25;100;1.1-1.2 collar (définition, différentiels d'intérêts et primes) · 2.1-2.3 netting (intérêt, schéma, soldes) · 2.4 blockchain et trésorerie;5.2|5.1;6.5;collar, netting multilatéral, blockchain;couverture_taux|netting_cash_pooling|blockchain_crypto;mixte;2;idem;idem
UE2;2020;3;Évaluation d'une start-up;25;100;1.1 limites des méthodes traditionnelles · 1.2 facteurs d'évaluation d'une start-up · 1.3 Venture Capital Method;3.3;4.2;évaluation de start-up, VC method;start_up_VC;mixte;2;idem;idem
UE2;2019;1;Étude de cas Éditlivres (montage financier, notation, évaluation, risque de taux);75;100;Q1-4 performance, structure financière (gearing, capacité de remboursement), TFT, intérêt du montage · Q5 notation · Q6 coût de la dette, des CP, CMPC · Q7-8 DCF et limites · Q9-12 risque d'un portefeuille obligataire, sensibilité, couverture par contrats Euro Bund;2.1|3.1|5.2;1.2|4.3|6.4|2.2;diagnostic de groupe, notation, CMPC, DCF, sensibilité, futures de taux;diagnostic_ratios|TFT|notation|CMPC|DCF_FTD|obligations_duration|couverture_taux;mixte (calcul dominant);2;Drive UE 2 - 2019 Sujet (id 1EMmWRPbDVAG5I3bZOBH_LOR25pQUlHNY);ancien programme (avant réforme 2019/2020) — copie FicheBEN
UE2;2019;2;Réflexion : la gestion de la dette et le LBO;25;100;dissertation 4 pages : avantages/faiblesses des LBO et incidences sur la gestion de la dette;6.3|6.4;4.3;argumentation structurée sur LBO et dette;LBO|dissertation;rédaction (réflexion);1;idem;idem
UE2;2018;1;Étude de cas LVMH (risque de marché et diagnostic consolidé);75;100;A : rentabilités moyennes, variances, bêta, couple rentabilité-risque, risque spécifique/systématique, diversification · B : profitabilité, rentabilité économique et financière, endettement/solvabilité/liquidité, conclusion;1.2|2.1;1.3;statistiques de rentabilité, bêta, diversification, diagnostic consolidé;covariance_risque|MEDAF_beta|diagnostic_ratios;calcul dominant;2;Drive UE 2 - 2018 Sujet (id 1MczojRte0WpBtcz1k-o6syDZrGNz7k2j);ancien programme — copie FicheBEN
UE2;2018;2;Réflexion : innovation et modes de financement;25;100;dissertation 4 pages : innovation, lien innovation-financement, modes de financement;4.2|6.5;;argumentation structurée;capital_investissement|dissertation;rédaction (réflexion);1;idem;idem
UE2;2017;1;Étude de cas CARBIOS (introduction en bourse, évaluation);75;100;Q1-4 avantages/inconvénients d'une IPO, objectifs, alternative, option de surallocation, dilution · Q5-8 refus des comparables, DCF, flottant, regroupement d'actions;6.2|3.1|4.2;3.2;IPO, surallocation, dilution, DCF, flottant, regroupement d'actions;IPO|DCF_FTD|multiples;mixte;2;Drive UE 2 - 2017 Sujet (id 1MgzbWuHD_0l1ZkffISpMYYBFqrDCsIpc);ancien programme — copie FicheBEN
UE2;2017;2;Réflexion : couverture des risques financiers;25;100;dissertation sur la couverture des risques financiers (change) à partir d'un article;5.2;;argumentation structurée;couverture_change|dissertation;rédaction (réflexion);1;idem;idem
UE2;2016;1;Étude de cas GLI (diagnostic, coût du capital, évaluation DCF);75;100;Q1-4 résultats, ROE, gearing, capacité de remboursement, diagnostic · Q5-7 coût de la dette, bêta d'activité des comparables, bêta des CP, CMPC · Q8-9 FTD prévisionnels, valeur des CP;2.1|1.2|3.1;4.3|6.3;diagnostic consolidé, bêta désendetté/réendetté, CMPC, DCF;diagnostic_ratios|MEDAF_beta|CMPC|DCF_FTD;calcul dominant;2;Drive UE 2 - 2016 Sujet (id 1VNy6oiftNIYFoTox6UcIJlwDCvyNax58);ancien programme — copie FicheBEN
UE2;2016;2;Réflexion : opérations de croissance externe;25;100;dissertation sur les opérations de croissance externe;6.3;;argumentation structurée;fusions_acquisitions|dissertation;rédaction (réflexion);1;idem;idem
